pid,utt_ind,act_type,text,needs_review
p717,2,Hint,"I see the position. Black’s legal moves are **g2, b6, a7, b7, b8, c8**.

Before picking, use this quick endgame checklist:

- **Corners:** can White get **a8** or **a1** soon?
- **Danger squares:** moves like **a7/b8/b7** can affect access to **a8**.
- **Mobility:** which move leaves White with the fewest good replies?
- **Final count:** don’t focus only on flips right now.

What question do you want to explore on this turn?",False
p717,2,Prompt,"I see the position. Black’s legal moves are **g2, b6, a7, b7, b8, c8**.

Before picking, use this quick endgame checklist:

- **Corners:** can White get **a8** or **a1** soon?
- **Danger squares:** moves like **a7/b8/b7** can affect access to **a8**.
- **Mobility:** which move leaves White with the fewest good replies?
- **Final count:** don’t focus only on flips right now.

What question do you want to explore on this turn?",False
p717,3,Direct Instruction,"Almost — but two corrections:

- **a1 isn’t a legal Black move right now** (no pale dot there).
- If you *could* take **a1**, the **a1 corner disc itself is permanent**, but it doesn’t “freeze row 1 and column h.” It affects **row 1 and column a**.

Also, row 1 would **not** be frozen for Black here: with **a1 black** and **b1–g1 white**, if Black later got **h1**, those whites on row 1 could flip to Black. So corners are permanent, but the whole edge becomes stable only when it’s connected/secured.",False
p717,3,Negative Feedback,"Almost — but two corrections:

- **a1 isn’t a legal Black move right now** (no pale dot there).
- If you *could* take **a1**, the **a1 corner disc itself is permanent**, but it doesn’t “freeze row 1 and column h.” It affects **row 1 and column a**.

Also, row 1 would **not** be frozen for Black here: with **a1 black** and **b1–g1 white**, if Black later got **h1**, those whites on row 1 could flip to Black. So corners are permanent, but the whole edge becomes stable only when it’s connected/secured.",False
p717,3,Neutral Feedback,"Almost — but two corrections:

- **a1 isn’t a legal Black move right now** (no pale dot there).
- If you *could* take **a1**, the **a1 corner disc itself is permanent**, but it doesn’t “freeze row 1 and column h.” It affects **row 1 and column a**.

Also, row 1 would **not** be frozen for Black here: with **a1 black** and **b1–g1 white**, if Black later got **h1**, those whites on row 1 could flip to Black. So corners are permanent, but the whole edge becomes stable only when it’s connected/secured.",False
p717,4,Direct Instruction,"A square is legal only if placing a Black disc there would **trap at least one straight line of White discs** between the new Black disc and an existing Black disc.

Straight lines can be horizontal, vertical, or diagonal.

Example: **c8** is legal because along the diagonal upward-right you’d have **d7 White, e6 White**, then **f5 Black** — so those Whites would flip.

A square without a pale dot has no such “White(s) in a row ending at Black” line, so Black can’t play there.",False
p717,5,Direct Instruction,"Yes. In Othello, you may only play on an empty square if it **flanks/traps at least one opponent disc** in a straight line — horizontal, vertical, or diagonal — with one of your discs on the far end.

That’s why only **g2, b6, a7, b7, b8, c8** are legal for Black here. If a square doesn’t flip at least one White disc, you can’t play there.",False
p635,0,Provide Correct Answer,"g2 is legal, but **c8 looks better**.

Why: **g2 sits next to the empty h1 corner** and can give White a chance to take that permanent corner. In the endgame, handing over a corner is usually worse than flipping several discs now.

So I’d choose **c8** over g2.",False
p635,0,Direct Instruction,"g2 is legal, but **c8 looks better**.

Why: **g2 sits next to the empty h1 corner** and can give White a chance to take that permanent corner. In the endgame, handing over a corner is usually worse than flipping several discs now.

So I’d choose **c8** over g2.",False
p635,1,Provide Correct Answer,"I’d look at **a7 rather than b6**.

Why: **b6 flips more now**, but it leaves that left edge/corner area awkward. **a7** is an edge move that takes stable-looking discs and is less likely to give White a strong reply.",False
p635,1,Direct Instruction,"I’d look at **a7 rather than b6**.

Why: **b6 flips more now**, but it leaves that left edge/corner area awkward. **a7** is an edge move that takes stable-looking discs and is less likely to give White a strong reply.",False
p635,2,Direct Instruction,"**h1 isn’t legal right now** — no pale dot there.

**a1 is legal and it’s a corner**, so it’s not “bad” in the usual sense. But with only 4 empties left, don’t use the corner rule blindly: compare the final sequence after **a1** with the quieter option **a3** and see which leaves White fewer good replies.",False
p635,2,Pose Simplified Problem,"**h1 isn’t legal right now** — no pale dot there.

**a1 is legal and it’s a corner**, so it’s not “bad” in the usual sense. But with only 4 empties left, don’t use the corner rule blindly: compare the final sequence after **a1** with the quieter option **a3** and see which leaves White fewer good replies.",False
p635,2,Negative Feedback,"**h1 isn’t legal right now** — no pale dot there.

**a1 is legal and it’s a corner**, so it’s not “bad” in the usual sense. But with only 4 empties left, don’t use the corner rule blindly: compare the final sequence after **a1** with the quieter option **a3** and see which leaves White fewer good replies.",False
p635,3,Provide Correct Answer,"Yes — **play a1**.

It’s a **corner**, so it can’t be flipped back, and it avoids letting White get an easy permanent corner at **h1** after a risky **g2**.",False
p635,3,Direct Instruction,"Yes — **play a1**.

It’s a **corner**, so it can’t be flipped back, and it avoids letting White get an easy permanent corner at **h1** after a risky **g2**.",False
p635,4,Provide Correct Answer,"Yes — **play h1**.

It’s the **corner**, and it flips **g1, f1, e1, d1, c1, b1** across to your **a1** corner disc. That top row then becomes secure.",False
p635,4,Direct Instruction,"Yes — **play h1**.

It’s the **corner**, and it flips **g1, f1, e1, d1, c1, b1** across to your **a1** corner disc. That top row then becomes secure.",False
p635,4,Positive Feedback,"Yes — **play h1**.

It’s the **corner**, and it flips **g1, f1, e1, d1, c1, b1** across to your **a1** corner disc. That top row then becomes secure.",False
p528,0,Direct Instruction,"You lost mainly because White ended with **3 corners (a1, h1, a8)** while Black had only **h8**. Corners are permanent, and they often “anchor” whole edges — that’s why White’s top/left sides became so solid.

What to do differently next game/endgame:

- **Don’t play next to an empty corner** unless you’ve counted it out. Squares like **b2, g2, b7, g7** are especially dangerous.
- In the endgame, **don’t chase the move that flips the most discs now**. Big flips often just give White the last stable move.
- Look for moves that **leave White few legal moves** or force White into a bad corner-adjacent move.
- When only a few empties remain, try to **count the final result** for 2–3 move sequences: “If I play X, White replies Y, then who gets the corner / last move?”

So the main correction: **prioritize corner safety and final counting over immediate flips.**",False
p528,0,Hint,"You lost mainly because White ended with **3 corners (a1, h1, a8)** while Black had only **h8**. Corners are permanent, and they often “anchor” whole edges — that’s why White’s top/left sides became so solid.

What to do differently next game/endgame:

- **Don’t play next to an empty corner** unless you’ve counted it out. Squares like **b2, g2, b7, g7** are especially dangerous.
- In the endgame, **don’t chase the move that flips the most discs now**. Big flips often just give White the last stable move.
- Look for moves that **leave White few legal moves** or force White into a bad corner-adjacent move.
- When only a few empties remain, try to **count the final result** for 2–3 move sequences: “If I play X, White replies Y, then who gets the corner / last move?”

So the main correction: **prioritize corner safety and final counting over immediate flips.**",False
p528,1,Direct Instruction,"Yep — at this point the board is full, so the game is over.

Final count from the image:

- **Black: 22**
- **White: 42**
- **White wins by 20**

The “cascade” came from White owning **3 corners**: **a1, h1, a8**. Once White had those, many edge discs became stable and couldn’t be taken back.

For next time, ask especially before moves that are:

- next to an empty corner: **b1, a2, b2 / g1, h2, g2 / etc.**
- big immediate flips in the endgame
- edge moves that might give White a corner reply

A good endgame question is: **“If I play this, what corner or last move does White get?”**",False
p528,2,Direct Instruction,"Good reflection. This game is already finished — **no legal moves / no empty squares**.

Result from this final board:

- **Black: 22**
- **White: 42**
- **White wins by 20**

The key lesson is exactly what you said: one unsafe endgame move can cascade if it gives White a corner or stable edge. Next time, before playing near a corner, ask: **“Does this let White take the corner next?”**",False
p528,2,Hint,"Good reflection. This game is already finished — **no legal moves / no empty squares**.

Result from this final board:

- **Black: 22**
- **White: 42**
- **White wins by 20**

The key lesson is exactly what you said: one unsafe endgame move can cascade if it gives White a corner or stable edge. Next time, before playing near a corner, ask: **“Does this let White take the corner next?”**",False
p528,2,Positive Feedback,"Good reflection. This game is already finished — **no legal moves / no empty squares**.

Result from this final board:

- **Black: 22**
- **White: 42**
- **White wins by 20**

The key lesson is exactly what you said: one unsafe endgame move can cascade if it gives White a corner or stable edge. Next time, before playing near a corner, ask: **“Does this let White take the corner next?”**",False
p528,3,Direct Instruction,"Yes — **especially in the endgame, don’t automatically choose the move that flips the most discs right now.**

A big immediate gain can be bad if it:

- gives White a **corner**
- gives White a **stable edge**
- leaves White with an easy final sequence
- reduces your own future mobility

Better question than “How many do I flip now?” is:

**“After I move, what does White get?”**

In this finished game, White won **42–22**, largely because White got more permanent/stable discs from corners and edges. So next time, if a move flips many discs but lets White take a corner, it’s usually not worth it.",False
p528,3,Prompt,"Yes — **especially in the endgame, don’t automatically choose the move that flips the most discs right now.**

A big immediate gain can be bad if it:

- gives White a **corner**
- gives White a **stable edge**
- leaves White with an easy final sequence
- reduces your own future mobility

Better question than “How many do I flip now?” is:

**“After I move, what does White get?”**

In this finished game, White won **42–22**, largely because White got more permanent/stable discs from corners and edges. So next time, if a move flips many discs but lets White take a corner, it’s usually not worth it.",False
p528,4,Direct Instruction,"This position is already finished: **0 empty squares**, so Black has no move.

Final count:

- **Black: 22**
- **White: 42**

White wins by **20**.

Good takeaway for next time: before choosing a big-flip move, ask: **“What does this let White take next — especially corners or stable edges?”**",False
p632,0,Direct Instruction,"Good instinct: **a corner like a1 would be permanent and safe** — *if it were legal*.

But in this position **a1 is not marked with a legal-move dot**, so Black can’t play there. Legal choices are: **g2, b6, a7, b7, b8, c8**.

Quick thought: several of those are near empty corners, so ask: **which move avoids handing White a corner next turn?**",False
p632,0,Hint,"Good instinct: **a corner like a1 would be permanent and safe** — *if it were legal*.

But in this position **a1 is not marked with a legal-move dot**, so Black can’t play there. Legal choices are: **g2, b6, a7, b7, b8, c8**.

Quick thought: several of those are near empty corners, so ask: **which move avoids handing White a corner next turn?**",False
p632,0,Prompt,"Good instinct: **a corner like a1 would be permanent and safe** — *if it were legal*.

But in this position **a1 is not marked with a legal-move dot**, so Black can’t play there. Legal choices are: **g2, b6, a7, b7, b8, c8**.

Quick thought: several of those are near empty corners, so ask: **which move avoids handing White a corner next turn?**",False
p632,0,Positive Feedback,"Good instinct: **a corner like a1 would be permanent and safe** — *if it were legal*.

But in this position **a1 is not marked with a legal-move dot**, so Black can’t play there. Legal choices are: **g2, b6, a7, b7, b8, c8**.

Quick thought: several of those are near empty corners, so ask: **which move avoids handing White a corner next turn?**",False
p632,1,Direct Instruction,"**C8 is legal**, and it does take some bottom-edge control.

But be careful: it still leaves the **bottom-left corner area (a8/b8/a7)** unresolved. In the endgame, the key question is: after **c8**, does White get a reply that helps them win or take a corner later?

I’d compare it with moves that **reduce White’s replies**, especially around **b7/b8/a7**.",False
p632,1,Hint,"**C8 is legal**, and it does take some bottom-edge control.

But be careful: it still leaves the **bottom-left corner area (a8/b8/a7)** unresolved. In the endgame, the key question is: after **c8**, does White get a reply that helps them win or take a corner later?

I’d compare it with moves that **reduce White’s replies**, especially around **b7/b8/a7**.",False
p632,1,Prompt,"**C8 is legal**, and it does take some bottom-edge control.

But be careful: it still leaves the **bottom-left corner area (a8/b8/a7)** unresolved. In the endgame, the key question is: after **c8**, does White get a reply that helps them win or take a corner later?

I’d compare it with moves that **reduce White’s replies**, especially around **b7/b8/a7**.",False
p632,2,Direct Instruction,"Yes — **a7 is legal**.

Reason: when you place Black at **a7**, it brackets the White disc on **a6** between:

- your new Black disc at **a7**
- your existing Black disc at **a5**

So **a6 flips to black**.  
Just remember: **a7 is next to the empty corner a8**, so think about whether White could benefit from that afterward.",False
p632,2,Hint,"Yes — **a7 is legal**.

Reason: when you place Black at **a7**, it brackets the White disc on **a6** between:

- your new Black disc at **a7**
- your existing Black disc at **a5**

So **a6 flips to black**.  
Just remember: **a7 is next to the empty corner a8**, so think about whether White could benefit from that afterward.",False
p632,2,Positive Feedback,"Yes — **a7 is legal**.

Reason: when you place Black at **a7**, it brackets the White disc on **a6** between:

- your new Black disc at **a7**
- your existing Black disc at **a5**

So **a6 flips to black**.  
Just remember: **a7 is next to the empty corner a8**, so think about whether White could benefit from that afterward.",False
p632,3,Direct Instruction,"Endgame shortcut: don’t ask “what flips most?” — ask **“what does White get next?”**

Here the danger corners are **a8** and **h1**. So check each legal move:

- **g2** is next to **h1** → could help White get that corner.
- **a7 / b8** are next to **a8** → risky if they open the corner.
- Compare the lower-left moves by asking: **after my move, can White play a8, or do they run out of good replies?**

Try analyzing one candidate that *doesn’t immediately sit beside the corner* and see what White’s legal replies would be.",False
p632,3,Hint,"Endgame shortcut: don’t ask “what flips most?” — ask **“what does White get next?”**

Here the danger corners are **a8** and **h1**. So check each legal move:

- **g2** is next to **h1** → could help White get that corner.
- **a7 / b8** are next to **a8** → risky if they open the corner.
- Compare the lower-left moves by asking: **after my move, can White play a8, or do they run out of good replies?**

Try analyzing one candidate that *doesn’t immediately sit beside the corner* and see what White’s legal replies would be.",False
p632,3,Prompt,"Endgame shortcut: don’t ask “what flips most?” — ask **“what does White get next?”**

Here the danger corners are **a8** and **h1**. So check each legal move:

- **g2** is next to **h1** → could help White get that corner.
- **a7 / b8** are next to **a8** → risky if they open the corner.
- Compare the lower-left moves by asking: **after my move, can White play a8, or do they run out of good replies?**

Try analyzing one candidate that *doesn’t immediately sit beside the corner* and see what White’s legal replies would be.",False
p632,3,Pose Simplified Problem,"Endgame shortcut: don’t ask “what flips most?” — ask **“what does White get next?”**

Here the danger corners are **a8** and **h1**. So check each legal move:

- **g2** is next to **h1** → could help White get that corner.
- **a7 / b8** are next to **a8** → risky if they open the corner.
- Compare the lower-left moves by asking: **after my move, can White play a8, or do they run out of good replies?**

Try analyzing one candidate that *doesn’t immediately sit beside the corner* and see what White’s legal replies would be.",False
p632,4,Direct Instruction,"Corners are desirable because **a disc in a corner can never be flipped**: there’s no square beyond it to bracket it.

That often makes the corner the “anchor” for a stable edge. For example, if Black gets **a8**, then discs along the **a-file or 8th row** can become much harder for White to flip. That’s why squares next to empty corners — like **a7, b8, b7** near **a8** — need extra care: they can sometimes help the opponent take the corner.",False
p632,5,Hint,"**b6 is legal.** Before you click it, do one last endgame check: after **b6**, what legal move does White get near the **a8 corner**?

I’d especially compare it with **b7**, because that move may change White’s access to the lower-left corner area. The key is: **which move leaves White with the fewest useful replies?**",False
p632,5,Prompt,"**b6 is legal.** Before you click it, do one last endgame check: after **b6**, what legal move does White get near the **a8 corner**?

I’d especially compare it with **b7**, because that move may change White’s access to the lower-left corner area. The key is: **which move leaves White with the fewest useful replies?**",False
p632,5,Pose Simplified Problem,"**b6 is legal.** Before you click it, do one last endgame check: after **b6**, what legal move does White get near the **a8 corner**?

I’d especially compare it with **b7**, because that move may change White’s access to the lower-left corner area. The key is: **which move leaves White with the fewest useful replies?**",False
p99,0,Direct Instruction,"d8 isn’t a legal move here — it’s already occupied by White, and there’s no pale dot there.

Your legal choices are: **g2, b6, a7, b7, b8, c8**.  
For these, focus on: does the move give White access to a corner like **a8** or **a1/h1**, or does it limit White’s next legal moves?",False
p99,0,Hint,"d8 isn’t a legal move here — it’s already occupied by White, and there’s no pale dot there.

Your legal choices are: **g2, b6, a7, b7, b8, c8**.  
For these, focus on: does the move give White access to a corner like **a8** or **a1/h1**, or does it limit White’s next legal moves?",False
p99,0,Negative Feedback,"d8 isn’t a legal move here — it’s already occupied by White, and there’s no pale dot there.

Your legal choices are: **g2, b6, a7, b7, b8, c8**.  
For these, focus on: does the move give White access to a corner like **a8** or **a1/h1**, or does it limit White’s next legal moves?",False
p99,1,Provide Correct Answer,"No — **c8 is legal, but it’s not the best**.

The better move is **b7**.  
Why: **c8 flips a lot now**, but it can give White stronger endgame options around the **a8 corner/bottom edge**. **b7** is more controlled: it limits White’s replies and keeps the corner situation safer.",False
p99,1,Direct Instruction,"No — **c8 is legal, but it’s not the best**.

The better move is **b7**.  
Why: **c8 flips a lot now**, but it can give White stronger endgame options around the **a8 corner/bottom edge**. **b7** is more controlled: it limits White’s replies and keeps the corner situation safer.",False
p99,1,Negative Feedback,"No — **c8 is legal, but it’s not the best**.

The better move is **b7**.  
Why: **c8 flips a lot now**, but it can give White stronger endgame options around the **a8 corner/bottom edge**. **b7** is more controlled: it limits White’s replies and keeps the corner situation safer.",False
p99,2,Direct Instruction,"I’d be cautious about **g2**: it sits next to the empty **h1 corner**, and after you play g2, White can likely take **h1** — a permanent corner.

Look hard at **c8** instead: in this endgame, keeping White away from corners matters more than flipping lots immediately.",False
p99,2,Hint,"I’d be cautious about **g2**: it sits next to the empty **h1 corner**, and after you play g2, White can likely take **h1** — a permanent corner.

Look hard at **c8** instead: in this endgame, keeping White away from corners matters more than flipping lots immediately.",False
p99,2,Negative Feedback,"I’d be cautious about **g2**: it sits next to the empty **h1 corner**, and after you play g2, White can likely take **h1** — a permanent corner.

Look hard at **c8** instead: in this endgame, keeping White away from corners matters more than flipping lots immediately.",False
p99,3,Direct Instruction,"Yes — **White has the a8 corner now**, and corners are permanent: you can’t flip that disc back.

Now focus on the remaining 6 empties. Your legal moves are **g2, b6, a7**. Ask:  
- Does **g2** give White access to the **h1 corner**?  
- Which of **b6/a7** leaves White with the fewest good replies?",False
p99,3,Prompt,"Yes — **White has the a8 corner now**, and corners are permanent: you can’t flip that disc back.

Now focus on the remaining 6 empties. Your legal moves are **g2, b6, a7**. Ask:  
- Does **g2** give White access to the **h1 corner**?  
- Which of **b6/a7** leaves White with the fewest good replies?",False
p99,3,Pose Simplified Problem,"Yes — **White has the a8 corner now**, and corners are permanent: you can’t flip that disc back.

Now focus on the remaining 6 empties. Your legal moves are **g2, b6, a7**. Ask:  
- Does **g2** give White access to the **h1 corner**?  
- Which of **b6/a7** leaves White with the fewest good replies?",False
p99,3,Positive Feedback,"Yes — **White has the a8 corner now**, and corners are permanent: you can’t flip that disc back.

Now focus on the remaining 6 empties. Your legal moves are **g2, b6, a7**. Ask:  
- Does **g2** give White access to the **h1 corner**?  
- Which of **b6/a7** leaves White with the fewest good replies?",False
p99,4,Provide Correct Answer,"I’d play **a7**.

Why: **g2** risks giving White access to the **h1 corner**, and **b6** doesn’t address the bottom-left edge as well. **a7** is the safest endgame move here: it plays on the edge and keeps Black’s best final result.",False
p99,4,Direct Instruction,"I’d play **a7**.

Why: **g2** risks giving White access to the **h1 corner**, and **b6** doesn’t address the bottom-left edge as well. **a7** is the safest endgame move here: it plays on the edge and keeps Black’s best final result.",False
p99,5,Provide Correct Answer,"Best is **a3**.

Evaluation of your legal moves:

- **a3 — best.** It flips along **b3** and diagonal **b4-c5-d6**, and importantly leaves **White with no legal move**, so White must pass. Then you can take control of the last moves.
- **a1 — playable but worse.** It lets White answer **a3**, flipping much of the left edge back.
- **g2 — bad.** It opens tactics around **h1**, and White can use the remaining moves to swing discs back.

So play **a3**.",False
p99,5,Direct Instruction,"Best is **a3**.

Evaluation of your legal moves:

- **a3 — best.** It flips along **b3** and diagonal **b4-c5-d6**, and importantly leaves **White with no legal move**, so White must pass. Then you can take control of the last moves.
- **a1 — playable but worse.** It lets White answer **a3**, flipping much of the left edge back.
- **g2 — bad.** It opens tactics around **h1**, and White can use the remaining moves to swing discs back.

So play **a3**.",False
p688,0,Provide Correct Answer,"Play **b7**.

It looks a bit risky because it’s near the **a8 corner**, but in this endgame it’s the move that keeps Black’s best result. It flips across row 7 and gives you the strongest finish compared with the other legal moves.",False
p688,0,Direct Instruction,"Play **b7**.

It looks a bit risky because it’s near the **a8 corner**, but in this endgame it’s the move that keeps Black’s best result. It flips across row 7 and gives you the strongest finish compared with the other legal moves.",False
p688,1,Provide Correct Answer,"**No — g2 is probably the “flip the most now” trap.** It flips a lot immediately, but that usually gives White better endgame replies.

For the best final outcome, play **c8**.  
It flips fewer discs now, but it controls the edge/endgame better and should leave Black with the strongest finish.",False
p688,1,Direct Instruction,"**No — g2 is probably the “flip the most now” trap.** It flips a lot immediately, but that usually gives White better endgame replies.

For the best final outcome, play **c8**.  
It flips fewer discs now, but it controls the edge/endgame better and should leave Black with the strongest finish.",False
p688,1,Negative Feedback,"**No — g2 is probably the “flip the most now” trap.** It flips a lot immediately, but that usually gives White better endgame replies.

For the best final outcome, play **c8**.  
It flips fewer discs now, but it controls the edge/endgame better and should leave Black with the strongest finish.",False
p688,2,Provide Correct Answer,"**No — g2 is not the best now.** Even if it flips more immediately, it leaves White better replies in the final few moves.

Play **a7**.  
It’s the best endgame move here because it works along the edge and helps limit White’s final gain, rather than just chasing the biggest flip right now.",False
p688,2,Direct Instruction,"**No — g2 is not the best now.** Even if it flips more immediately, it leaves White better replies in the final few moves.

Play **a7**.  
It’s the best endgame move here because it works along the edge and helps limit White’s final gain, rather than just chasing the biggest flip right now.",False
p688,2,Negative Feedback,"**No — g2 is not the best now.** Even if it flips more immediately, it leaves White better replies in the final few moves.

Play **a7**.  
It’s the best endgame move here because it works along the edge and helps limit White’s final gain, rather than just chasing the biggest flip right now.",False
p688,3,Provide Correct Answer,"Usually **corner > edge**, because corners can’t be flipped back.

But **right now the best move is the edge square: _a3_**. In this 4-empty endgame, the final count matters more than the general rule; **a1** is a corner, but it doesn’t give Black the best finish here. Avoid **g2**.",False
p688,3,Direct Instruction,"Usually **corner > edge**, because corners can’t be flipped back.

But **right now the best move is the edge square: _a3_**. In this 4-empty endgame, the final count matters more than the general rule; **a1** is a corner, but it doesn’t give Black the best finish here. Avoid **g2**.",False
p688,4,Provide Correct Answer,"Yes — **take the corner: a1**.

Even if **g2** flips more right now, **a1 can never be flipped back**, and in this final position it gives Black the best end result. This is exactly when the corner matters more than the biggest immediate flip.",False
p688,4,Direct Instruction,"Yes — **take the corner: a1**.

Even if **g2** flips more right now, **a1 can never be flipped back**, and in this final position it gives Black the best end result. This is exactly when the corner matters more than the biggest immediate flip.",False
p688,5,Provide Correct Answer,"Yes — **corner again: play h1**.

Here it’s even stronger: **h1 flips the whole top row from b1–g1**, and because corners can’t be flipped back, it locks those discs. If you play **g2** first, White can take **h1** after.",False
p688,5,Direct Instruction,"Yes — **corner again: play h1**.

Here it’s even stronger: **h1 flips the whole top row from b1–g1**, and because corners can’t be flipped back, it locks those discs. If you play **g2** first, White can take **h1** after.",False
p813,0,Direct Instruction,"I’d be cautious: **g2 is probably not best**.

Why: **g2 sits next to the empty corner h1**. If you play there, ask: *does White get a move to h1 afterward?* Corners are permanent, so giving White h1 can outweigh the discs you flip now.

Quick check: compare g2 with the lower-left legal moves and ask which one leaves White with the fewest good replies/corners.",False
p813,0,Prompt,"I’d be cautious: **g2 is probably not best**.

Why: **g2 sits next to the empty corner h1**. If you play there, ask: *does White get a move to h1 afterward?* Corners are permanent, so giving White h1 can outweigh the discs you flip now.

Quick check: compare g2 with the lower-left legal moves and ask which one leaves White with the fewest good replies/corners.",False
p813,0,Pose Simplified Problem,"I’d be cautious: **g2 is probably not best**.

Why: **g2 sits next to the empty corner h1**. If you play there, ask: *does White get a move to h1 afterward?* Corners are permanent, so giving White h1 can outweigh the discs you flip now.

Quick check: compare g2 with the lower-left legal moves and ask which one leaves White with the fewest good replies/corners.",False
p813,0,Neutral Feedback,"I’d be cautious: **g2 is probably not best**.

Why: **g2 sits next to the empty corner h1**. If you play there, ask: *does White get a move to h1 afterward?* Corners are permanent, so giving White h1 can outweigh the discs you flip now.

Quick check: compare g2 with the lower-left legal moves and ask which one leaves White with the fewest good replies/corners.",False
p813,1,Direct Instruction,"**b6 is legal, but I’d hesitate.** It’s not the move I’d focus on first because the lower-left corner area (**a8**) is still unresolved.

Compare it with **b7**: after each move, ask *what can White play next, and do they get access to a corner or a pass?* Here, **b7 looks safer/stronger than b6** for controlling that bottom-left edge.",False
p813,1,Hint,"**b6 is legal, but I’d hesitate.** It’s not the move I’d focus on first because the lower-left corner area (**a8**) is still unresolved.

Compare it with **b7**: after each move, ask *what can White play next, and do they get access to a corner or a pass?* Here, **b7 looks safer/stronger than b6** for controlling that bottom-left edge.",False
p813,1,Prompt,"**b6 is legal, but I’d hesitate.** It’s not the move I’d focus on first because the lower-left corner area (**a8**) is still unresolved.

Compare it with **b7**: after each move, ask *what can White play next, and do they get access to a corner or a pass?* Here, **b7 looks safer/stronger than b6** for controlling that bottom-left edge.",False
p813,1,Neutral Feedback,"**b6 is legal, but I’d hesitate.** It’s not the move I’d focus on first because the lower-left corner area (**a8**) is still unresolved.

Compare it with **b7**: after each move, ask *what can White play next, and do they get access to a corner or a pass?* Here, **b7 looks safer/stronger than b6** for controlling that bottom-left edge.",False
p813,2,Direct Instruction,"It’s **not ideal**, but it’s still very playable.

Now the key is **not** “flip the most.” Check the legal moves for what they leave White:

- **g2**: still risks the **h1 corner** area.
- **a7 / b6**: affect the bottom-left corner access.
- Look closely at which move leaves White with the fewest good replies and doesn’t hand over a corner.

If you want, ask “what’s the move?” and I’ll give it directly.",False
p813,2,Hint,"It’s **not ideal**, but it’s still very playable.

Now the key is **not** “flip the most.” Check the legal moves for what they leave White:

- **g2**: still risks the **h1 corner** area.
- **a7 / b6**: affect the bottom-left corner access.
- Look closely at which move leaves White with the fewest good replies and doesn’t hand over a corner.

If you want, ask “what’s the move?” and I’ll give it directly.",False
p813,2,Prompt,"It’s **not ideal**, but it’s still very playable.

Now the key is **not** “flip the most.” Check the legal moves for what they leave White:

- **g2**: still risks the **h1 corner** area.
- **a7 / b6**: affect the bottom-left corner access.
- Look closely at which move leaves White with the fewest good replies and doesn’t hand over a corner.

If you want, ask “what’s the move?” and I’ll give it directly.",False
p813,2,Pose Simplified Problem,"It’s **not ideal**, but it’s still very playable.

Now the key is **not** “flip the most.” Check the legal moves for what they leave White:

- **g2**: still risks the **h1 corner** area.
- **a7 / b6**: affect the bottom-left corner access.
- Look closely at which move leaves White with the fewest good replies and doesn’t hand over a corner.

If you want, ask “what’s the move?” and I’ll give it directly.",False
p813,2,Neutral Feedback,"It’s **not ideal**, but it’s still very playable.

Now the key is **not** “flip the most.” Check the legal moves for what they leave White:

- **g2**: still risks the **h1 corner** area.
- **a7 / b6**: affect the bottom-left corner access.
- Look closely at which move leaves White with the fewest good replies and doesn’t hand over a corner.

If you want, ask “what’s the move?” and I’ll give it directly.",False
p813,3,Direct Instruction,"Good — this is the right moment to **count replies, not flips**.

Before choosing, ask for each legal move:

- **g2**: does this give White access to the **h1 corner** soon?
- **a7 / b6**: do these help White get the **a8 corner**?
- **c8**: after this edge move, what legal moves does White actually have?

Try mentally playing each and checking: *which move leaves White with the fewest strong replies/corners?*",False
p813,3,Prompt,"Good — this is the right moment to **count replies, not flips**.

Before choosing, ask for each legal move:

- **g2**: does this give White access to the **h1 corner** soon?
- **a7 / b6**: do these help White get the **a8 corner**?
- **c8**: after this edge move, what legal moves does White actually have?

Try mentally playing each and checking: *which move leaves White with the fewest strong replies/corners?*",False
p813,3,Pose Simplified Problem,"Good — this is the right moment to **count replies, not flips**.

Before choosing, ask for each legal move:

- **g2**: does this give White access to the **h1 corner** soon?
- **a7 / b6**: do these help White get the **a8 corner**?
- **c8**: after this edge move, what legal moves does White actually have?

Try mentally playing each and checking: *which move leaves White with the fewest strong replies/corners?*",False
p813,3,Positive Feedback,"Good — this is the right moment to **count replies, not flips**.

Before choosing, ask for each legal move:

- **g2**: does this give White access to the **h1 corner** soon?
- **a7 / b6**: do these help White get the **a8 corner**?
- **c8**: after this edge move, what legal moves does White actually have?

Try mentally playing each and checking: *which move leaves White with the fewest strong replies/corners?*",False
p813,4,Direct Instruction,"You’re right — **White already owns a8**, so I shouldn’t frame it as “access to a8.”

Now the question is more: **which legal move gives White the worst follow-up?**  
In particular, be wary of **g2**, because the top-right corner **h1** is still empty and corners decide endgames. For the bottom edge moves, compare how **b6 / a7 / c8** affect White’s mobility and the remaining empties near **b8**.",False
p813,4,Hint,"You’re right — **White already owns a8**, so I shouldn’t frame it as “access to a8.”

Now the question is more: **which legal move gives White the worst follow-up?**  
In particular, be wary of **g2**, because the top-right corner **h1** is still empty and corners decide endgames. For the bottom edge moves, compare how **b6 / a7 / c8** affect White’s mobility and the remaining empties near **b8**.",False
p813,4,Pose Simplified Problem,"You’re right — **White already owns a8**, so I shouldn’t frame it as “access to a8.”

Now the question is more: **which legal move gives White the worst follow-up?**  
In particular, be wary of **g2**, because the top-right corner **h1** is still empty and corners decide endgames. For the bottom edge moves, compare how **b6 / a7 / c8** affect White’s mobility and the remaining empties near **b8**.",False
